20/12/20 10:05:11.68:   Get current data
20/12/20 10:05:12.39:   Found: 
20/12/20 10:05:12.76:   Remove old data
20/12/20 10:05:12.78:   Deleted a past showing for forrestgump1994
20/12/20 10:05:12.78:   Deleted a past showing for forrestgump1994
20/12/20 10:05:12.78:   Deleted a past showing for forrestgump1994
20/12/20 10:05:12.78:   Deleted a past showing for happydeathday2017
20/12/20 10:05:12.78:   Deleted a past showing for happydeathday2017
20/12/20 10:05:12.79:   Deleted a past showing for educatingrita1983
20/12/20 10:05:12.79:   Deleted a past showing for educatingrita1983
20/12/20 10:05:12.79:   Deleted a past showing for educatingrita1983
20/12/20 10:05:12.79:   Deleted a past showing for educatingrita1983
20/12/20 10:05:12.79:   Deleted a past showing for singlewhitefemale1992
20/12/20 10:05:12.79:   Deleted a past showing for theevildead1981
20/12/20 10:05:12.80:   Deleted a past showing for gunfighters1947
20/12/20 10:05:12.81:   Deleted a past showing for dejavu2006
20/12/20 10:05:12.81:   Deleted a past showing for theunforgiven1960
20/12/20 10:05:12.81:   Deleted a past showing for panicroom2002
20/12/20 10:05:12.81:   Deleted a past showing for redlights2012
20/12/20 10:05:12.81:   Deleted a past showing for thehobbitthebattleofthefivearmies2014
20/12/20 10:05:12.82:   Deleted a past showing for safehouse
20/12/20 10:05:12.91:   Get films from sky
20/12/20 10:05:12.91:   Already have this day
20/12/20 10:05:12.91:   Finished getting day 0 / 7
20/12/20 10:05:12.91:   Already have this day
20/12/20 10:05:12.91:   Finished getting day 1 / 7
20/12/20 10:05:12.91:   Already have this day
20/12/20 10:05:12.91:   Finished getting day 2 / 7
20/12/20 10:05:12.91:   Already have this day
20/12/20 10:05:12.91:   Finished getting day 3 / 7
20/12/20 10:05:12.91:   Already have this day
20/12/20 10:05:12.91:   Finished getting day 4 / 7
20/12/20 10:05:12.91:   Already have this day
20/12/20 10:05:12.91:   Finished getting day 5 / 7
20/12/20 10:05:12.91:   Already have this day
20/12/20 10:05:12.91:   Finished getting day 6 / 7
20/12/20 10:05:12.91:   Got all films from Sky
20/12/20 10:05:12.91:   Add metadata
20/12/20 10:05:12.91:   Film done 0 / 518
20/12/20 10:05:12.91:   Film done 1 / 518
20/12/20 10:05:12.91:   Film done 2 / 518
20/12/20 10:05:12.91:   Film done 3 / 518
20/12/20 10:05:12.91:   Film done 4 / 518
20/12/20 10:05:12.91:   Film done 6 / 518
20/12/20 10:05:12.91:   Film done 5 / 518
20/12/20 10:05:12.91:   Film done 7 / 518
20/12/20 10:05:12.92:   Film done 8 / 518
20/12/20 10:05:12.92:   Film done 9 / 518
20/12/20 10:05:12.92:   Film done 10 / 518
20/12/20 10:05:12.92:   Film done 11 / 518
20/12/20 10:05:12.92:   Film done 12 / 518
20/12/20 10:05:12.92:   Film done 13 / 518
20/12/20 10:05:12.92:   Film done 14 / 518
20/12/20 10:05:12.92:   Film done 15 / 518
20/12/20 10:05:12.92:   Film done 16 / 518
20/12/20 10:05:12.92:   Film done 17 / 518
20/12/20 10:05:12.92:   Film done 18 / 518
20/12/20 10:05:12.92:   Film done 19 / 518
20/12/20 10:05:12.92:   Film done 20 / 518
20/12/20 10:05:12.92:   Film done 21 / 518
20/12/20 10:05:12.92:   Film done 22 / 518
20/12/20 10:05:12.92:   Film done 23 / 518
20/12/20 10:05:12.92:   Film done 24 / 518
20/12/20 10:05:12.92:   Film done 25 / 518
20/12/20 10:05:12.92:   Film done 26 / 518
20/12/20 10:05:12.92:   Film done 27 / 518
20/12/20 10:05:12.92:   Film done 28 / 518
20/12/20 10:05:12.92:   Film done 29 / 518
20/12/20 10:05:12.92:   Film done 30 / 518
20/12/20 10:05:12.92:   Film done 31 / 518
20/12/20 10:05:12.92:   Film done 32 / 518
20/12/20 10:05:12.92:   Film done 33 / 518
20/12/20 10:05:12.92:   Film done 34 / 518
20/12/20 10:05:12.92:   Film done 35 / 518
20/12/20 10:05:12.92:   Film done 36 / 518
20/12/20 10:05:12.92:   Film done 37 / 518
20/12/20 10:05:12.92:   Film done 38 / 518
20/12/20 10:05:12.92:   Film done 39 / 518
20/12/20 10:05:12.92:   Film done 40 / 518
20/12/20 10:05:12.92:   Film done 41 / 518
20/12/20 10:05:12.92:   Film done 42 / 518
20/12/20 10:05:12.92:   Film done 43 / 518
20/12/20 10:05:12.92:   Film done 44 / 518
20/12/20 10:05:12.92:   Film done 45 / 518
20/12/20 10:05:12.92:   Film done 46 / 518
20/12/20 10:05:12.92:   Film done 49 / 518
20/12/20 10:05:12.92:   Film done 48 / 518
20/12/20 10:05:12.92:   Film done 47 / 518
20/12/20 10:05:12.92:   Film done 50 / 518
20/12/20 10:05:12.92:   Film done 51 / 518
20/12/20 10:05:12.92:   Film done 52 / 518
20/12/20 10:05:12.92:   Film done 53 / 518
20/12/20 10:05:12.92:   Film done 54 / 518
20/12/20 10:05:12.92:   Film done 55 / 518
20/12/20 10:05:12.92:   Film done 56 / 518
20/12/20 10:05:12.92:   Film done 57 / 518
20/12/20 10:05:12.92:   Film done 58 / 518
20/12/20 10:05:12.92:   Film done 59 / 518
20/12/20 10:05:12.92:   Film done 60 / 518
20/12/20 10:05:12.92:   Film done 61 / 518
20/12/20 10:05:12.92:   Film done 62 / 518
20/12/20 10:05:12.92:   Film done 63 / 518
20/12/20 10:05:12.92:   Film done 64 / 518
20/12/20 10:05:12.93:   Film done 65 / 518
20/12/20 10:05:12.93:   Film done 66 / 518
